journal_name,category,submissions,accepted,rejected,acceptance_rate,rejection_rate,quarter,year,editor_name,avg_review_days,country
International Journal of Clinical Medicine,Environmental,603,250,353,41.46,58.54,Q2,2023,James Carvalho,29,Netherlands
International Journal of Clinical Medicine 1,Business,231,55,176,23.81,76.19,Q1,2023,Elena Bennett,109,Netherlands
Journal of Organizational Psychology,Medicine,609,6,603,0.99,99.01,Q4,2023,Marco Rossi,37,Canada
International Journal of Environmental Chemistry,Social Sciences,818,99,719,12.1,87.9,Q3,2024,Nina Nguyen,111,USA
Review of Environmental Chemistry,Business,1170,600,570,51.28,48.72,Q3,2025,Oliver Okafor,23,India
Advances in Environmental Chemistry,Humanities,516,103,413,19.96,80.04,Q3,2024,Ken Liu,38,Canada
Journal of Biomedical Imaging,Social Sciences,586,73,513,12.46,87.54,Q2,2025,Elena Bennett,38,Netherlands
Advances in Climate Dynamics,Humanities,1180,449,731,38.05,61.95,Q3,2025,Priya Bennett,22,Netherlands
Advances in Environmental Chemistry 2,Business,472,467,5,98.94,1.06,Q3,2025,Oliver Choudhury,68,Singapore
Journal of Digital Humanities,Medicine,325,126,199,38.77,61.23,Q3,2025,Sofia Müller,64,Germany
Review of Environmental Chemistry 3,Social Sciences,136,28,108,20.59,79.41,Q2,2023,Sofia Okafor,67,Singapore
Advances in Microbial Biotechnology,Social Sciences,63,14,49,22.22,77.78,Q3,2025,Marco Okafor,55,Germany
Review of Clinical Medicine,Medicine,579,512,67,88.43,11.57,Q1,2023,Nina Carvalho,95,Germany
Advances in Tourism Economics,STEM,370,276,94,74.59,25.41,Q1,2025,Marco Choudhury,20,Canada
Advances in Marine Ecology,Environmental,158,61,97,38.61,61.39,Q1,2025,James Choudhury,26,Germany
Journal of Biomedical Imaging 4,Social Sciences,1013,969,44,95.66,4.34,Q2,2025,Nina Carvalho,95,India
Journal of Polymer Chemistry,STEM,678,408,270,60.18,39.82,Q3,2025,Ken Carvalho,75,India
Journal of Environmental Chemistry,Business,732,21,711,2.87,97.13,Q2,2025,Oliver Nguyen,27,UK
